player,role,amount,team,year,player_origin
Sachithra Senanayaka,All-Rounder,46875000,Kolkata Knight Riders,2013,Overseas
Sagar Trivedi,All-Rounder,1000000,Rajasthan Royals,2015,Indian
Sam Billings,Wicket Keeper,20000000,Delhi Capitals,2021,Overseas
Sam Curran,All-Rounder,55000000,Chennai Super Kings,2020,Overseas
Samuel Badree,Bowler,5000000,Royal Challengers Bangalore,2016,Overseas
Sandeep Bavanaka,All-Rounder,2000000,Sunrisers Hyderabad,2020,Overseas
Sandeep Lamichhane,Bowler,2000000,Delhi Daredevils,2018,Overseas
Sandeep Sharma,Bowler,30000000,Sunrisers Hyderabad,2018,Indian
Sandeep Warrier,Bowler,1000000,Royal Challengers Bangalore,2014,Indian
Sanjay Yadav,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian
Sanju Samson,Wicket Keeper,80000000,Rajasthan Royals,2018,Indian
Sarabjit Ladda,Bowler,1000000,Gujarat Lions,2016,Indian
Sarfaraz Naushad Khan,All-Rounder,2500000,Kings XI Punjab,2019,Indian
Saurabh Kumar,All-Rounder,2000000,Punjab Kings,2021,Indian
Saurabh Tiwary,Batsman,5000000,Mumbai Indians,2020,Indian
