player,number_of_not_outs,tot_runs,highest_score,tot_balls_faced,number_of_hundreds,number_of_fifties,number_of_fours,number_of_sixes,batting_average,batting_strike_rate,number_of_overs,runs,wickets,number_of_four_fers,number_of_five_fers,max_number_of_wickets_per_match,number_of_balls_bowled,bowling_average,bowling_strike_rate,total_matches,total_innings,role,amount,player_origin,player_id
harpreet brar,6.0,84.0,25.0,70.0,0.0,0.0,5.0,3.0,9.33333333333333,120.0,23.0,139.0,5.0,0.0,0.0,3.0,138.0,27.8,27.6,9.0,7.0,All-Rounder,2000000.0,Indian,1e32da37-be28-41ad-b4a4-3681912a145f
harry gurney,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.125,20.0,27.0,238.0,7.0,0.0,0.0,2.0,162.0,34.0,23.142857142857142,8.0,8.0,Bowler,7500000.0,Overseas,81a9ef9b-a190-475c-80b1-d213c0ced1b9
harshal patel,6.0,140.0,36.0,105.0,0.0,0.0,9.0,8.0,5.185185185185185,133.33333333333331,114.0,1027.0,48.0,1.0,1.0,5.0,684.0,21.39583333333333,14.25,33.0,33.0,All-Rounder,2000000.0,Indian,ec197d67-3bf3-4b2a-b767-72d7f0858151
heinrich klaasen,1.0,66.0,32.0,57.0,0.0,0.0,5.0,1.0,9.428571428571427,115.78947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,Wicket Keeper,5000000.0,Overseas,84548d68-ae48-4b45-930f-9fa345156572
imran tahir,3.0,20.0,13.0,21.0,0.0,0.0,3.0,0.0,0.8,95.23809523809523,162.0,1218.0,58.0,2.0,0.0,4.0,972.0,21.0,16.75862068965517,43.0,43.0,Bowler,10000000.0,Overseas,0939f450-42fe-4ac3-8721-a91b75b15b8b
irfan pathan,0.0,13.0,7.0,16.0,0.0,0.0,0.0,0.0,2.6,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,All-Rounder,10000000.0,Indian,99a8429a-7fbf-4356-948d-b04ad9a68681
ishan kishan,5.0,1452.0,99.0,1065.0,0.0,9.0,121.0,74.0,23.803278688524593,136.33802816901408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,56.0,Wicket Keeper,62000000.0,Indian,1b497c46-d9f2-4d97-95b7-f5a13834ca73
ishank jaggi,1.0,33.0,28.0,39.0,0.0,0.0,3.0,0.0,16.5,84.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Batsman,2000000.0,Indian,7b7d65fc-c215-446b-8fab-ec321039c03f
ishant sharma,4.0,18.0,10.0,15.0,0.0,0.0,2.0,1.0,0.9473684210526316,120.0,73.0,594.0,17.0,0.0,0.0,5.0,438.0,34.94117647058823,25.764705882352946,20.0,20.0,Bowler,11000000.0,Indian,8dbdcd6a-2eaa-4b21-8d32-34caf7910811
isuru udana,1.0,15.0,10.0,11.0,0.0,0.0,1.0,1.0,1.5,136.36363636363637,29.0,282.0,8.0,0.0,0.0,2.0,174.0,35.25,21.75,10.0,10.0,All-Rounder,5000000.0,Overseas,99cee036-9688-45cb-aa74-1dcbb6424a06
james faulkner,4.0,131.0,32.0,116.0,0.0,0.0,11.0,0.0,8.733333333333333,112.93103448275862,43.0,425.0,8.0,0.0,0.0,5.0,258.0,53.125,32.25,15.0,15.0,All-Rounder,30000000.0,Overseas,8075d1cf-1068-4014-be26-c68fde1eb01a
jason holder,3.0,173.0,47.0,144.0,0.0,0.0,9.0,10.0,9.105263157894736,120.13888888888889,73.0,583.0,32.0,1.0,0.0,4.0,438.0,18.21875,13.6875,19.0,19.0,All-Rounder,7000000.0,Overseas,d971e5c0-f0d7-4d5d-a6ff-a69e83e5ac49
jason roy,2.0,329.0,91.0,255.0,0.0,2.0,39.0,9.0,25.307692307692307,129.01960784313724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,Batsman,15000000.0,Overseas,08d8d334-7f57-4ab7-af95-78dc7e1a8cc1
jasprit bumrah,13.0,55.0,16.0,55.0,0.0,0.0,4.0,1.0,0.6179775280898876,100.0,341.0,2440.0,119.0,2.0,0.0,4.0,2046.0,20.50420168067227,17.19327731092437,89.0,89.0,Bowler,12000000.0,Indian,add1301e-4a0c-45d0-8343-7a9f89d11e0e
jayant yadav,1.0,40.0,23.0,36.0,0.0,0.0,2.0,1.0,4.0,111.11111111111111,48.0,348.0,6.0,0.0,0.0,1.0,288.0,58.0,48.0,14.0,14.0,All-Rounder,5000000.0,Indian,b3afb3a2-4497-4a1b-91e4-a71ffd54556d
jaydev unadkat,9.0,102.0,26.0,88.0,0.0,0.0,9.0,3.0,2.0,115.90909090909092,178.0,1602.0,53.0,0.0,1.0,5.0,1068.0,30.22641509433962,20.150943396226417,51.0,51.0,Bowler,30000000.0,Indian,db1db81e-9f89-4c75-9115-880856d9dfb1
jhye richardson,0.0,15.0,15.0,24.0,0.0,0.0,2.0,0.0,5.0,62.5,11.0,117.0,3.0,0.0,0.0,2.0,66.0,39.0,22.0,3.0,3.0,Bowler,140000000.0,Overseas,cbcfbad1-e0a3-4501-8c10-b5a48133af1b
joe denly,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Batsman,10000000.0,Overseas,dd4046f5-791f-46a4-a354-c86a171176c6
jofra archer,10.0,195.0,27.0,124.0,0.0,0.0,11.0,14.0,5.571428571428571,157.25806451612905,137.0,981.0,46.0,0.0,0.0,3.0,822.0,21.32608695652174,17.869565217391305,35.0,35.0,All-Rounder,72000000.0,Overseas,bb8536fb-668a-434c-a6b2-f9344443d828
jonny bairstow,3.0,1038.0,114.0,730.0,1.0,7.0,99.0,46.0,37.07142857142857,142.1917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,Wicket Keeper,22000000.0,Overseas,1f4f5d17-2944-4982-be29-ffafddeacc9c
jos buttler,8.0,1968.0,124.0,1312.0,1.0,11.0,194.0,90.0,30.27692307692308,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,64.0,Wicket Keeper,44000000.0,Overseas,f3a7dd1d-5636-4a1d-aa6a-a188648e035e
